time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:34:24.494000,114_adjust_3-1,0,-0.0007,-0.0004,-0.0004,0.2637,0.1237,0.0320,99.32,0.04,0.02,0.0000,0.55,-87.29,0,-0.0019,0.0066,-0.0080,0.1392,0.03,0.02,-0.0097,0.0195
2022-11-11T11:34:29.949000,114_adjust_1-2,0,0.0002,0.0004,-0.0001,0.2639,0.1235,0.0316,99.46,0.00,0.00,0.0000,0.40,-83.56,0,-0.0009,0.0073,-0.0078,0.1394,-0.01,0.00,-0.0094,0.0198
2022-11-11T11:34:34.069000,114_adjust_1,0,-0.0001,0.0000,0.0000,0.2637,0.1236,0.0318,99.37,0.00,0.00,0.0000,0.37,-77.35,0,-0.0010,0.0065,-0.0076,0.1396,-0.01,0.00,-0.0093,0.0196
2022-11-11T11:34:39.749000,115_initial,0,0.0458,0.1382,-0.0360,0.2644,0.1235,0.0313,99.62,0.19,-0.10,0.0000,1.42,114.36,0,0.0520,0.1350,-0.0446,0.1379,-0.21,-0.23,-0.0460,0.0214
2022-11-11T11:34:45.120000,115_adjust_3-1,0,0.0007,-0.0020,0.0007,0.2641,0.1237,0.0317,99.45,-0.01,0.02,0.0000,0.67,141.43,0,0.0072,-0.0022,-0.0078,0.1384,-0.02,0.02,-0.0094,0.0199
2022-11-11T11:34:50.554000,115_adjust_1-2,0,-0.0001,0.0001,0.0001,0.2641,0.1234,0.0313,99.57,0.00,-0.00,0.0000,0.55,129.92,0,0.0057,-0.0005,-0.0084,0.1383,-0.01,-0.00,-0.0102,0.0216
2022-11-11T11:34:54.851000,115_adjust_1,0,-0.0000,0.0000,0.0000,0.2641,0.1233,0.0310,99.65,-0.00,-0.00,0.0000,0.55,127.71,0,0.0061,0.0001,-0.0085,0.1381,-0.01,-0.00,-0.0102,0.0209
2022-11-11T11:35:01.492000,116_initial,0,0.0623,-0.0270,-0.0230,0.1940,0.0642,-0.0387,99.54,-0.18,-0.01,0.0000,4.67,100.08,0,0.0615,-0.0327,-0.0277,0.1200,-0.16,-0.06,-0.0283,0.0092
2022-11-11T11:35:06.957000,116_adjust_3-1,0,0.0008,0.0013,0.0001,0.1943,0.0639,-0.0404,100.03,-0.00,0.02,0.0000,4.91,97.82,0,-0.0004,-0.0058,-0.0046,0.1203,-0.00,0.01,-0.0052,0.0093
2022-11-11T11:35:12.548000,116_adjust_1-2,0,-0.0004,-0.0004,-0.0000,0.1943,0.0639,-0.0405,100.03,0.00,-0.00,0.0000,4.81,99.15,0,-0.0012,-0.0072,-0.0048,0.1202,0.01,-0.01,-0.0054,0.0095
2022-11-11T11:35:16.858000,116_adjust_1,0,0.0002,0.0005,-0.0003,0.1944,0.0637,-0.0411,100.22,0.00,-0.00,0.0000,4.94,100.87,0,-0.0005,-0.0061,-0.0050,0.1201,0.01,-0.01,-0.0057,0.0092
2022-11-11T11:35:22.707000,117_initial,0,0.0549,0.0276,-0.0289,0.1950,0.0643,-0.0405,100.21,-0.16,-0.04,0.0000,5.61,102.17,0,0.0570,0.0189,-0.0333,0.1230,-0.17,-0.07,-0.0339,0.0097
2022-11-11T11:35:28.207000,117_adjust_3-1,0,0.0006,0.0001,0.0006,0.1948,0.0644,-0.0394,99.89,0.01,0.00,0.0000,5.72,99.79,0,0.0020,-0.0094,-0.0039,0.1237,0.01,0.00,-0.0046,0.0101
2022-11-11T11:35:33.714000,117_adjust_1-2,0,0.0003,0.0002,-0.0003,0.1948,0.0643,-0.0402,100.09,0.00,0.00,0.0000,5.56,98.31,0,0.0016,-0.0089,-0.0048,0.1231,0.00,-0.00,-0.0054,0.0097
2022-11-11T11:35:37.848000,117_adjust_1,0,-0.0002,0.0000,0.0001,0.1948,0.0643,-0.0398,100.00,-0.00,0.00,0.0000,5.76,100.44,0,0.0011,-0.0087,-0.0044,0.1231,0.00,0.00,-0.0051,0.0100
2022-11-11T11:35:43.694000,118_initial,0,0.0562,0.0762,-0.0334,0.2628,0.1227,0.0307,99.39,-0.04,-0.06,0.0000,0.97,1.48,0,0.0519,0.0791,-0.0412,0.1363,-0.26,-0.21,-0.0424,0.0196
2022-11-11T11:35:49.247000,118_adjust_3-1,0,-0.0008,-0.0014,-0.0000,0.2625,0.1224,0.0302,99.42,0.04,0.02,0.0000,0.93,-10.28,0,-0.0048,0.0027,-0.0076,0.1361,0.04,0.02,-0.0092,0.0198
